DEPTH,RHOB,GR,VP,Vs,NPHI
3107.6914,2.3492,77.6354,2.6188568400000003,4.638665855999999,22.16
3107.8164,2.3495,77.5984,2.630737944,4.645856088,22.439999999999998
3107.9414,2.3323,77.8389,2.639866704,4.649440535999999,23.02
3108.0664,2.3022,78.6029,2.6455420800000002,4.6491479280000005,23.78
3108.1914,2.2735,80.2948,2.647569,4.647523344,24.36
3108.3164,2.265,82.98,2.6464442879999996,4.654094832,24.2
3108.4414,2.2708,85.9686,2.643338376,4.671690936,23.51
3108.5664,2.2844,88.594,2.638598736,4.697672088,22.67
3108.6914,2.3003,90.4381,2.632777056,4.726756104000001,22.18
3108.8164,2.315,91.3794,2.626638384,4.752008784,22.5
3108.9414,2.3298,91.5419,2.621334864,4.7649384,23.72
3109.0664,2.3418,91.7791,2.616756768,4.765773552000001,25.009999999999998
3109.1914,2.3481,92.6979,2.6118525360000002,4.757940192,25.919999999999998
3109.3164,2.3483,94.6248,2.605619376,4.743916344,26.39
3109.4414,2.3444,97.592,2.59706364,4.725768552000001,26.47
3109.5664,2.3411,101.2072,2.585158152,4.704636767999999,26.169999999999998
3109.6914,2.3506,103.9052,2.567403552,4.67872572,25.230000000000004
3109.8164,2.3623,105.5543,2.543705352,4.640003928,23.96
3109.9414,2.3711,106.2965,2.513874576,4.580400288,22.53
3110.0664,2.3766,106.3685,2.478950592,4.49758308,21.21
3110.1914,2.3828,105.9913,2.4412407359999997,4.395819503999999,20.31
3110.3164,2.4008,104.8582,2.405402352,4.291504752000001,20.05
3110.4414,2.4333,102.5619,2.3765103599999997,4.209172176,20.0
3110.5664,2.4688,99.6163,2.3560704720000003,4.15454592,19.81
3110.6914,2.497,96.2028,2.344920888,4.126714632,19.16
3110.8164,2.5086,92.661,2.343381648,4.120146192,17.89
3111.1914,2.4304,90.6808,2.396605824,4.130140584,17.130000000000003
3111.3164,2.395,94.0127,2.425610592,4.131743832000001,19.64
3111.4414,2.3643,97.6046,2.454161208,4.144673448,22.38
3111.5664,2.3403,99.9357,2.479057272,4.179743736,24.23
3111.6914,2.3263,99.8372,2.4975647280000004,4.245519576,24.52
3111.8164,2.325,98.4857,2.5097536799999998,4.328056368,24.07
3111.9414,2.334,97.6656,2.5181814,4.4070178559999995,23.830000000000002
3112.0664,2.3491,97.8711,2.524249968,4.47371724,23.94
3112.1914,2.3638,99.0988,2.52921516,4.524859632,24.23
3112.3164,2.3709,100.9228,2.5341072000000002,4.5626274,24.26
3112.4414,2.3668,102.6893,2.54038608,4.592287488,23.61
3112.5664,2.3653,103.182,2.548697976,4.612114728,22.49
3112.6914,2.3713,101.8493,2.558527776,4.6160436,21.310000000000002
3112.8164,2.3804,98.9259,2.5690647120000003,4.602470856,20.41
3112.9414,2.3845,95.2438,2.579351712,4.57425552,20.13
3113.0664,2.3747,92.3211,2.588428656,4.540444056,20.830000000000002
3113.1914,2.3587,91.0647,2.5956066960000004,4.519245216000001,22.15
3113.3164,2.3481,90.7895,2.601230256,4.515608952,23.18
3113.4414,2.3485,91.4321,2.6057992079999996,4.527916776,23.76
3113.5664,2.3586,93.1406,2.609917056,4.552450128,23.9
3113.6914,2.3714,96.1683,2.614150728,4.584789408,23.77
3113.8164,2.3788,100.0579,2.61852156,4.625489352,23.599999999999998
3113.9414,2.3821,102.5925,2.622206592,4.671596448,23.62
3114.0664,2.3876,103.221,2.62469376,4.716758664,23.990000000000002
3114.1914,2.3976,102.5211,2.625949536,4.755998616,24.6
3114.3164,2.4108,101.4884,2.626300056,4.785545928,25.28
3114.4414,2.4206,101.079,2.626425024,4.803026208,25.72
3114.5664,2.4257,100.5127,2.626357968,4.8099726,25.669999999999998
3114.6914,2.4282,99.2671,2.625339936,4.812459768,25.46
3114.8164,2.4307,97.6937,2.623130136,4.81170996,25.490000000000002
3114.9414,2.433,96.3266,2.61996936,4.807875576,25.96
3115.0664,2.4326,95.7058,2.616519024,4.800487223999999,26.810000000000002
3115.1914,2.4277,95.9294,2.613925176,4.7897003520000005,27.41
3115.3164,2.4235,95.4663,2.612078088,4.77838008,27.650000000000002
3115.4414,2.4215,94.6564,2.6100938399999998,4.76787972,27.83
3115.5664,2.4207,94.5192,2.607478656,4.758589416,27.82
3115.6914,2.4186,95.8904,2.604107568,4.75044516,27.400000000000002
3115.8164,2.412,98.928,2.60030976,4.74290136,26.279999999999998
3115.9414,2.4047,101.996,2.5971032640000002,4.736116512,24.8
3116.0664,2.4017,104.3294,2.594448456,4.7303344560000005,23.96
3116.1914,2.4028,105.5471,2.592272184,4.726311096,23.97
3116.3164,2.4058,105.4712,2.590543968,4.724448768,24.59
3116.4414,2.4078,104.2128,2.589340008,4.724851104,25.380000000000003
3116.5664,2.4062,102.7473,2.589090072,4.727274264,25.629999999999995
3116.6914,2.406,101.9198,2.5897972080000002,4.730078423999999,25.34
3116.8164,2.4115,102.1343,2.590504344,4.732090104,25.2
3116.9414,2.4193,103.3132,2.59037328,4.733065464,25.35
3117.0664,2.426,104.8813,2.5888523279999998,4.7333093040000005,25.650000000000002
3117.1914,2.43,105.762,2.5859232000000003,4.73360496,25.729999999999997
3117.3164,2.4275,105.1598,2.5821192959999997,4.734897312,25.319999999999997
3117.4414,2.4218,104.7354,2.5789067040000004,4.736969952,25.0
3117.5664,2.4181,105.0042,2.5765201199999996,4.73977716,24.89
3117.6914,2.4185,105.5789,2.574807144,4.743468288,24.93
3117.8164,2.4226,105.5925,2.573286192,4.748302416,25.009999999999998
3117.9414,2.4267,104.0163,2.571134304,4.7548038,25.009999999999998
3118.0664,2.424,101.7697,2.56751328,4.7627286,24.759999999999998
3118.1914,2.4155,100.7914,2.5623621599999997,4.7707113119999995,24.45
3118.3164,2.4053,101.5293,2.555842488,4.777499208,24.2
3118.4414,2.3978,103.5915,2.54826516,4.782260184,24.08
3118.5664,2.3974,105.8728,2.540047752,4.78479612,24.07
3118.6914,2.4064,107.5737,2.531793768,4.785896448,24.169999999999998
3118.8164,2.4168,108.3537,2.524527336,4.786524335999999,24.38
3118.9414,2.4274,108.1562,2.519104944,4.786353648,24.59
3119.0664,2.4375,107.0779,2.516255064,4.784710776,24.7
